,REF_DATE,GEO,Before-tax household income quintile,"Household expenditures, summary-level categories",COORDINATE,Expense,Family type,Age of older adult,Family income,Income
2,2010,Province 1,All quintiles,Food purchased from restaurants,C3,2141.0,Couple families,Total all ages,"$10,000 and over",7799670.0
3,2010,Province 1,All quintiles,Shelter,C4,15020.0,Couple families,Total all ages,"$15,000 and over",7695970.0
4,2010,Province 1,All quintiles,Principal accommodation,C5,13586.0,Couple families,Total all ages,"$20,000 and over",7552050.0
5,2010,Province 1,All quintiles,Rented living quarters,C6,3088.0,Couple families,Total all ages,"$25,000 and over",7355530.0
12,2010,Province 1,All quintiles,Household furnishings,C13,896.0,Couple families,Total all ages,"$70,000 and over",4420250.0
14,2010,Province 1,All quintiles,Household appliances,C15,415.0,Couple families,Total all ages,"$80,000 and over",3815020.0
17,2010,Province 1,Lowest quintile,Total expenditure,C18,29151.0,Couple families,0 to 24 years,All income groups,133350.0
20,2010,Province 1,Lowest quintile,Shelter,C21,9223.0,Couple families,0 to 24 years,"$15,000 and over",111560.0
21,2010,Province 1,Lowest quintile,Principal accommodation,C22,8742.0,Couple families,0 to 24 years,"$20,000 and over",100830.0
22,2010,Province 1,Lowest quintile,Rented living quarters,C23,4818.0,Couple families,0 to 24 years,"$25,000 and over",89240.0
23,2010,Province 1,Lowest quintile,Owned living quarters,C24,2693.0,Couple families,0 to 24 years,"$30,000 and over",77820.0
24,2010,Province 1,Lowest quintile,"Water, fuel and electricity for principal accommodation",C25,1232.0,Couple families,0 to 24 years,"$35,000 and over",66800.0
30,2010,Province 1,Lowest quintile,Household equipment,C31,371.0,Couple families,0 to 24 years,"$75,000 and over",14210.0
31,2010,Province 1,Lowest quintile,Household appliances,C32,192.0,Couple families,0 to 24 years,"$80,000 and over",11480.0
33,2010,Province 1,Lowest quintile,Transportation,C34,4473.0,Couple families,0 to 24 years,Median total income,35050.0
34,2010,Province 1,Second quintile,Total expenditure,C35,43247.0,Couple families,25 to 34 years,All income groups,1072780.0
36,2010,Province 1,Second quintile,Food purchased from restaurants,C37,1390.0,Couple families,25 to 34 years,"$10,000 and over",1039400.0
37,2010,Province 1,Second quintile,Shelter,C38,11252.0,Couple families,25 to 34 years,"$15,000 and over",1018700.0
39,2010,Province 1,Second quintile,Rented living quarters,C40,4142.0,Couple families,25 to 34 years,"$25,000 and over",958210.0
40,2010,Province 1,Second quintile,Owned living quarters,C41,4717.0,Couple families,25 to 34 years,"$30,000 and over",920790.0
41,2010,Province 1,Second quintile,"Water, fuel and electricity for principal accommodation",C42,1762.0,Couple families,25 to 34 years,"$35,000 and over",881160.0
43,2010,Province 1,Second quintile,Household operations,C44,2738.0,Couple families,25 to 34 years,"$45,000 and over",788760.0
46,2010,Province 1,Second quintile,Household furnishings,C47,526.0,Couple families,25 to 34 years,"$70,000 and over",530330.0
47,2010,Province 1,Second quintile,Household equipment,C48,634.0,Couple families,25 to 34 years,"$75,000 and over",479780.0
49,2010,Province 1,Second quintile,Clothing and accessories,C50,2270.0,Couple families,25 to 34 years,"$90,000 and over",341850.0
50,2010,Province 1,Second quintile,Transportation,C51,7622.0,Couple families,25 to 34 years,Median total income,69400.0
51,2010,Province 1,Third quintile,Total expenditure,C52,61674.0,Couple families,35 to 44 years,All income groups,1604130.0
56,2010,Province 1,Third quintile,Rented living quarters,C57,3069.0,Couple families,35 to 44 years,"$25,000 and over",1469940.0
59,2010,Province 1,Third quintile,Other accommodation,C60,1176.0,Couple families,35 to 44 years,"$40,000 and over",1336740.0
60,2010,Province 1,Third quintile,Household operations,C61,3472.0,Couple families,35 to 44 years,"$45,000 and over",1284580.0
61,2010,Province 1,Third quintile,Communications,C62,1739.0,Couple families,35 to 44 years,"$50,000 and over",1229420.0
66,2010,Province 1,Third quintile,Clothing and accessories,C67,3078.0,Couple families,35 to 44 years,"$90,000 and over",748000.0
67,2010,Province 1,Third quintile,Transportation,C68,10594.0,Couple families,35 to 44 years,Median total income,85540.0
68,2010,Province 1,Fourth quintile,Total expenditure,C69,83109.0,Couple families,45 to 54 years,All income groups,1893220.0
69,2010,Province 1,Fourth quintile,Food purchased from stores,C70,6688.0,Couple families,45 to 54 years,"Under $10,000",43630.0
75,2010,Province 1,Fourth quintile,"Water, fuel and electricity for principal accommodation",C76,2637.0,Couple families,45 to 54 years,"$35,000 and over",1684870.0
76,2010,Province 1,Fourth quintile,Other accommodation,C77,1185.0,Couple families,45 to 54 years,"$40,000 and over",1637560.0
78,2010,Province 1,Fourth quintile,Communications,C79,1999.0,Couple families,45 to 54 years,"$50,000 and over",1533210.0
80,2010,Province 1,Fourth quintile,Household furnishings,C81,932.0,Couple families,45 to 54 years,"$70,000 and over",1296030.0
81,2010,Province 1,Fourth quintile,Household equipment,C82,1029.0,Couple families,45 to 54 years,"$75,000 and over",1232040.0
82,2010,Province 1,Fourth quintile,Household appliances,C83,436.0,Couple families,45 to 54 years,"$80,000 and over",1167600.0
83,2010,Province 1,Fourth quintile,Clothing and accessories,C84,4217.0,Couple families,45 to 54 years,"$90,000 and over",1037640.0
88,2010,Province 1,Highest quintile,Shelter,C89,23261.0,Couple families,55 to 64 years,"$15,000 and over",1571310.0
89,2010,Province 1,Highest quintile,Principal accommodation,C90,19570.0,Couple families,55 to 64 years,"$20,000 and over",1540340.0
91,2010,Province 1,Highest quintile,Owned living quarters,C92,14915.0,Couple families,55 to 64 years,"$30,000 and over",1462430.0
93,2010,Province 1,Highest quintile,Other accommodation,C94,3691.0,Couple families,55 to 64 years,"$40,000 and over",1367670.0
95,2010,Province 1,Highest quintile,Communications,C96,2480.0,Couple families,55 to 64 years,"$50,000 and over",1253330.0
97,2010,Province 1,Highest quintile,Household furnishings,C98,1753.0,Couple families,55 to 64 years,"$70,000 and over",1002760.0
99,2010,Province 1,Highest quintile,Household appliances,C100,733.0,Couple families,55 to 64 years,"$80,000 and over",879740.0
100,2010,Province 1,Highest quintile,Clothing and accessories,C101,6334.0,Couple families,55 to 64 years,"$90,000 and over",765010.0
101,2010,Province 1,Highest quintile,Transportation,C102,19274.0,Couple families,55 to 64 years,Median total income,85750.0
103,2010,Province 2,All quintiles,Food purchased from stores,C104,5516.0,Couple families,Total all ages,"Under $10,000",1130.0
108,2010,Province 2,All quintiles,Owned living quarters,C109,5831.0,Couple families,Total all ages,"$30,000 and over",116960.0
109,2010,Province 2,All quintiles,"Water, fuel and electricity for principal accommodation",C110,2673.0,Couple families,Total all ages,"$35,000 and over",109260.0
110,2010,Province 2,All quintiles,Other accommodation,C111,887.0,Couple families,Total all ages,"$40,000 and over",103100.0
111,2010,Province 2,All quintiles,Household operations,C112,3674.0,Couple families,Total all ages,"$45,000 and over",96770.0
112,2010,Province 2,All quintiles,Communications,C113,1684.0,Couple families,Total all ages,"$50,000 and over",90370.0
117,2010,Province 2,All quintiles,Clothing and accessories,C118,3221.0,Couple families,Total all ages,"$90,000 and over",47420.0
119,2010,Province 2,Lowest quintile,Total expenditure,C120,23821.0,Couple families,0 to 24 years,All income groups,1530.0
120,2010,Province 2,Lowest quintile,Food purchased from stores,C121,3274.0,Couple families,0 to 24 years,"Under $10,000",100.0
121,2010,Province 2,Lowest quintile,Food purchased from restaurants,C122,640.0,Couple families,0 to 24 years,"$10,000 and over",1440.0
126,2010,Province 2,Lowest quintile,"Water, fuel and electricity for principal accommodation",C127,1709.0,Couple families,0 to 24 years,"$35,000 and over",730.0
127,2010,Province 2,Lowest quintile,Other accommodation,C128,210.0,Couple families,0 to 24 years,"$40,000 and over",570.0
128,2010,Province 2,Lowest quintile,Household operations,C129,1908.0,Couple families,0 to 24 years,"$45,000 and over",470.0
130,2010,Province 2,Lowest quintile,Household furnishings and equipment,C131,739.0,Couple families,0 to 24 years,"$60,000 and over",240.0
131,2010,Province 2,Lowest quintile,Household furnishings,C132,299.0,Couple families,0 to 24 years,"$70,000 and over",160.0
132,2010,Province 2,Lowest quintile,Household equipment,C133,383.0,Couple families,0 to 24 years,"$75,000 and over",140.0
137,2010,Province 2,Second quintile,Food purchased from stores,C138,4575.0,Couple families,25 to 34 years,"Under $10,000",200.0
139,2010,Province 2,Second quintile,Shelter,C140,8173.0,Couple families,25 to 34 years,"$15,000 and over",12960.0
140,2010,Province 2,Second quintile,Principal accommodation,C141,7807.0,Couple families,25 to 34 years,"$20,000 and over",12760.0
141,2010,Province 2,Second quintile,Rented living quarters,C142,2577.0,Couple families,25 to 34 years,"$25,000 and over",12470.0
142,2010,Province 2,Second quintile,Owned living quarters,C143,2884.0,Couple families,25 to 34 years,"$30,000 and over",12100.0
143,2010,Province 2,Second quintile,"Water, fuel and electricity for principal accommodation",C144,2347.0,Couple families,25 to 34 years,"$35,000 and over",11630.0
144,2010,Province 2,Second quintile,Other accommodation,C145,366.0,Couple families,25 to 34 years,"$40,000 and over",11080.0
145,2010,Province 2,Second quintile,Household operations,C146,2716.0,Couple families,25 to 34 years,"$45,000 and over",10410.0
147,2010,Province 2,Second quintile,Household furnishings and equipment,C148,1131.0,Couple families,25 to 34 years,"$60,000 and over",8340.0
149,2010,Province 2,Second quintile,Household equipment,C150,581.0,Couple families,25 to 34 years,"$75,000 and over",6450.0
150,2010,Province 2,Second quintile,Household appliances,C151,288.0,Couple families,25 to 34 years,"$80,000 and over",5890.0
151,2010,Province 2,Second quintile,Clothing and accessories,C152,2037.0,Couple families,25 to 34 years,"$90,000 and over",4840.0
153,2010,Province 2,Third quintile,Total expenditure,C154,54527.0,Couple families,35 to 44 years,All income groups,24810.0
154,2010,Province 2,Third quintile,Food purchased from stores,C155,5432.0,Couple families,35 to 44 years,"Under $10,000",220.0
161,2010,Province 2,Third quintile,Other accommodation,C162,615.0,Couple families,35 to 44 years,"$40,000 and over",22180.0
162,2010,Province 2,Third quintile,Household operations,C163,3714.0,Couple families,35 to 44 years,"$45,000 and over",21340.0
163,2010,Province 2,Third quintile,Communications,C164,1783.0,Couple families,35 to 44 years,"$50,000 and over",20350.0
167,2010,Province 2,Third quintile,Household appliances,C168,343.0,Couple families,35 to 44 years,"$80,000 and over",13640.0
169,2010,Province 2,Third quintile,Transportation,C170,10115.0,Couple families,35 to 44 years,Median total income,85930.0
170,2010,Province 2,Fourth quintile,Total expenditure,C171,72784.0,Couple families,45 to 54 years,All income groups,31120.0
171,2010,Province 2,Fourth quintile,Food purchased from stores,C172,6350.0,Couple families,45 to 54 years,"Under $10,000",220.0
173,2010,Province 2,Fourth quintile,Shelter,C174,13252.0,Couple families,45 to 54 years,"$15,000 and over",30630.0
175,2010,Province 2,Fourth quintile,Rented living quarters,C176,1057.0,Couple families,45 to 54 years,"$25,000 and over",29850.0
176,2010,Province 2,Fourth quintile,Owned living quarters,C177,7966.0,Couple families,45 to 54 years,"$30,000 and over",29350.0
179,2010,Province 2,Fourth quintile,Household operations,C180,4213.0,Couple families,45 to 54 years,"$45,000 and over",26880.0
182,2010,Province 2,Fourth quintile,Household furnishings,C183,823.0,Couple families,45 to 54 years,"$70,000 and over",20660.0
184,2010,Province 2,Fourth quintile,Household appliances,C185,515.0,Couple families,45 to 54 years,"$80,000 and over",18120.0
185,2010,Province 2,Fourth quintile,Clothing and accessories,C186,3916.0,Couple families,45 to 54 years,"$90,000 and over",15760.0
187,2010,Province 2,Highest quintile,Total expenditure,C188,119554.0,Couple families,55 to 64 years,All income groups,32260.0
188,2010,Province 2,Highest quintile,Food purchased from stores,C189,7931.0,Couple families,55 to 64 years,"Under $10,000",350.0
191,2010,Province 2,Highest quintile,Principal accommodation,C192,15526.0,Couple families,55 to 64 years,"$20,000 and over",30580.0
192,2010,Province 2,Highest quintile,Rented living quarters,C193,585.0,Couple families,55 to 64 years,"$25,000 and over",29880.0
196,2010,Province 2,Highest quintile,Household operations,C197,5808.0,Couple families,55 to 64 years,"$45,000 and over",24770.0
197,2010,Province 2,Highest quintile,Communications,C198,2253.0,Couple families,55 to 64 years,"$50,000 and over",23120.0
199,2010,Province 2,Highest quintile,Household furnishings,C200,1431.0,Couple families,55 to 64 years,"$70,000 and over",16640.0
200,2010,Province 2,Highest quintile,Household equipment,C201,1642.0,Couple families,55 to 64 years,"$75,000 and over",15280.0
202,2010,Province 2,Highest quintile,Clothing and accessories,C203,5864.0,Couple families,55 to 64 years,"$90,000 and over",11690.0
203,2010,Province 2,Highest quintile,Transportation,C204,17298.0,Couple families,55 to 64 years,Median total income,71940.0
205,2010,Province 3,All quintiles,Food purchased from stores,C206,5925.0,Couple families,Total all ages,"Under $10,000",450.0
206,2010,Province 3,All quintiles,Food purchased from restaurants,C207,1666.0,Couple families,Total all ages,"$10,000 and over",45110.0
207,2010,Province 3,All quintiles,Shelter,C208,10502.0,Couple families,Total all ages,"$15,000 and over",44740.0
208,2010,Province 3,All quintiles,Principal accommodation,C209,9680.0,Couple families,Total all ages,"$20,000 and over",44180.0
213,2010,Province 3,All quintiles,Household operations,C214,3531.0,Couple families,Total all ages,"$45,000 and over",37790.0
216,2010,Province 3,All quintiles,Household furnishings,C217,939.0,Couple families,Total all ages,"$70,000 and over",29320.0
217,2010,Province 3,All quintiles,Household equipment,C218,897.0,Couple families,Total all ages,"$75,000 and over",27510.0
218,2010,Province 3,All quintiles,Household appliances,C219,474.0,Couple families,Total all ages,"$80,000 and over",25700.0
219,2010,Province 3,All quintiles,Clothing and accessories,C220,4010.0,Couple families,Total all ages,"$90,000 and over",22440.0
220,2010,Province 3,All quintiles,Transportation,C221,10249.0,Couple families,Total all ages,Median total income,88890.0
221,2010,Province 3,Lowest quintile,Total expenditure,C222,21935.0,Couple families,0 to 24 years,All income groups,670.0
222,2010,Province 3,Lowest quintile,Food purchased from stores,C223,3292.0,Couple families,0 to 24 years,"Under $10,000",50.0
224,2010,Province 3,Lowest quintile,Shelter,C225,6112.0,Couple families,0 to 24 years,"$15,000 and over",570.0
229,2010,Province 3,Lowest quintile,Other accommodation,C230,,Couple families,0 to 24 years,"$40,000 and over",230.0
236,2010,Province 3,Lowest quintile,Clothing and accessories,C237,1225.0,Couple families,0 to 24 years,"$90,000 and over",30.0
238,2010,Province 3,Second quintile,Total expenditure,C239,37314.0,Couple families,25 to 34 years,All income groups,6290.0
245,2010,Province 3,Second quintile,"Water, fuel and electricity for principal accommodation",C246,2461.0,Couple families,25 to 34 years,"$35,000 and over",5530.0
247,2010,Province 3,Second quintile,Household operations,C248,2474.0,Couple families,25 to 34 years,"$45,000 and over",5080.0
251,2010,Province 3,Second quintile,Household equipment,C252,601.0,Couple families,25 to 34 years,"$75,000 and over",3380.0
252,2010,Province 3,Second quintile,Household appliances,C253,368.0,Couple families,25 to 34 years,"$80,000 and over",3100.0
254,2010,Province 3,Second quintile,Transportation,C255,7155.0,Couple families,25 to 34 years,Median total income,79100.0
255,2010,Province 3,Third quintile,Total expenditure,C256,57165.0,Couple families,35 to 44 years,All income groups,10030.0
257,2010,Province 3,Third quintile,Food purchased from restaurants,C258,1621.0,Couple families,35 to 44 years,"$10,000 and over",9930.0
258,2010,Province 3,Third quintile,Shelter,C259,9946.0,Couple families,35 to 44 years,"$15,000 and over",9880.0
260,2010,Province 3,Third quintile,Rented living quarters,C261,1007.0,Couple families,35 to 44 years,"$25,000 and over",9700.0
261,2010,Province 3,Third quintile,Owned living quarters,C262,5596.0,Couple families,35 to 44 years,"$30,000 and over",9580.0
263,2010,Province 3,Third quintile,Other accommodation,C264,680.0,Couple families,35 to 44 years,"$40,000 and over",9250.0
264,2010,Province 3,Third quintile,Household operations,C265,3563.0,Couple families,35 to 44 years,"$45,000 and over",9050.0
266,2010,Province 3,Third quintile,Household furnishings and equipment,C267,1815.0,Couple families,35 to 44 years,"$60,000 and over",8220.0
267,2010,Province 3,Third quintile,Household furnishings,C268,984.0,Couple families,35 to 44 years,"$70,000 and over",7510.0
269,2010,Province 3,Third quintile,Household appliances,C270,412.0,Couple families,35 to 44 years,"$80,000 and over",6660.0
270,2010,Province 3,Third quintile,Clothing and accessories,C271,4505.0,Couple families,35 to 44 years,"$90,000 and over",5880.0
273,2010,Province 3,Fourth quintile,Food purchased from stores,C274,6881.0,Couple families,45 to 54 years,"Under $10,000",80.0
275,2010,Province 3,Fourth quintile,Shelter,C276,12278.0,Couple families,45 to 54 years,"$15,000 and over",10670.0
276,2010,Province 3,Fourth quintile,Principal accommodation,C277,11245.0,Couple families,45 to 54 years,"$20,000 and over",10570.0
277,2010,Province 3,Fourth quintile,Rented living quarters,C278,881.0,Couple families,45 to 54 years,"$25,000 and over",10490.0
278,2010,Province 3,Fourth quintile,Owned living quarters,C279,7262.0,Couple families,45 to 54 years,"$30,000 and over",10380.0
280,2010,Province 3,Fourth quintile,Other accommodation,C281,1033.0,Couple families,45 to 54 years,"$40,000 and over",10100.0
282,2010,Province 3,Fourth quintile,Communications,C283,2084.0,Couple families,45 to 54 years,"$50,000 and over",9720.0
283,2010,Province 3,Fourth quintile,Household furnishings and equipment,C284,2385.0,Couple families,45 to 54 years,"$60,000 and over",9210.0
284,2010,Province 3,Fourth quintile,Household furnishings,C285,1075.0,Couple families,45 to 54 years,"$70,000 and over",8610.0
285,2010,Province 3,Fourth quintile,Household equipment,C286,1246.0,Couple families,45 to 54 years,"$75,000 and over",8230.0
286,2010,Province 3,Fourth quintile,Household appliances,C287,583.0,Couple families,45 to 54 years,"$80,000 and over",7840.0
287,2010,Province 3,Fourth quintile,Clothing and accessories,C288,4842.0,Couple families,45 to 54 years,"$90,000 and over",7100.0
289,2010,Province 3,Highest quintile,Total expenditure,C290,120926.0,Couple families,55 to 64 years,All income groups,9570.0
292,2010,Province 3,Highest quintile,Shelter,C293,16404.0,Couple families,55 to 64 years,"$15,000 and over",9350.0
295,2010,Province 3,Highest quintile,Owned living quarters,C296,10404.0,Couple families,55 to 64 years,"$30,000 and over",8910.0
297,2010,Province 3,Highest quintile,Other accommodation,C298,1872.0,Couple families,55 to 64 years,"$40,000 and over",8490.0
298,2010,Province 3,Highest quintile,Household operations,C299,5736.0,Couple families,55 to 64 years,"$45,000 and over",8200.0
299,2010,Province 3,Highest quintile,Communications,C300,2558.0,Couple families,55 to 64 years,"$50,000 and over",7910.0
301,2010,Province 3,Highest quintile,Household furnishings,C302,1683.0,Couple families,55 to 64 years,"$70,000 and over",6450.0
302,2010,Province 3,Highest quintile,Household equipment,C303,1575.0,Couple families,55 to 64 years,"$75,000 and over",6100.0
303,2010,Province 3,Highest quintile,Household appliances,C304,850.0,Couple families,55 to 64 years,"$80,000 and over",5710.0
304,2010,Province 3,Highest quintile,Clothing and accessories,C305,7073.0,Couple families,55 to 64 years,"$90,000 and over",4990.0
306,2010,Province 4,All quintiles,Total expenditure,C307,59534.0,Couple families,Total all ages,All income groups,33560.0
309,2010,Province 4,All quintiles,Shelter,C310,11605.0,Couple families,Total all ages,"$15,000 and over",32730.0
314,2010,Province 4,All quintiles,Other accommodation,C315,1032.0,Couple families,Total all ages,"$40,000 and over",27320.0
316,2010,Province 4,All quintiles,Communications,C317,1726.0,Couple families,Total all ages,"$50,000 and over",23970.0
321,2010,Province 4,All quintiles,Clothing and accessories,C322,3089.0,Couple families,Total all ages,"$90,000 and over",11090.0
322,2010,Province 4,All quintiles,Transportation,C323,9456.0,Couple families,Total all ages,Median total income,70530.0
325,2010,Province 4,Lowest quintile,Food purchased from restaurants,C326,932.0,Couple families,0 to 24 years,"$10,000 and over",400.0
327,2010,Province 4,Lowest quintile,Principal accommodation,C328,7447.0,Couple families,0 to 24 years,"$20,000 and over",340.0
328,2010,Province 4,Lowest quintile,Rented living quarters,C329,3572.0,Couple families,0 to 24 years,"$25,000 and over",320.0
330,2010,Province 4,Lowest quintile,"Water, fuel and electricity for principal accommodation",C331,1772.0,Couple families,0 to 24 years,"$35,000 and over",220.0
333,2010,Province 4,Lowest quintile,Communications,C334,917.0,Couple families,0 to 24 years,"$50,000 and over",100.0
336,2010,Province 4,Lowest quintile,Household equipment,C337,289.0,Couple families,0 to 24 years,"$75,000 and over",20.0
337,2010,Province 4,Lowest quintile,Household appliances,C338,,Couple families,0 to 24 years,"$80,000 and over",20.0
343,2010,Province 4,Second quintile,Shelter,C344,8457.0,Couple families,25 to 34 years,"$15,000 and over",3510.0
349,2010,Province 4,Second quintile,Household operations,C350,3088.0,Couple families,25 to 34 years,"$45,000 and over",2760.0
350,2010,Province 4,Second quintile,Communications,C351,1441.0,Couple families,25 to 34 years,"$50,000 and over",2490.0
351,2010,Province 4,Second quintile,Household furnishings and equipment,C352,1190.0,Couple families,25 to 34 years,"$60,000 and over",1970.0
352,2010,Province 4,Second quintile,Household furnishings,C353,343.0,Couple families,25 to 34 years,"$70,000 and over",1470.0
354,2010,Province 4,Second quintile,Household appliances,C355,305.0,Couple families,25 to 34 years,"$80,000 and over",1090.0
355,2010,Province 4,Second quintile,Clothing and accessories,C356,2176.0,Couple families,25 to 34 years,"$90,000 and over",760.0
356,2010,Province 4,Second quintile,Transportation,C357,6927.0,Couple families,25 to 34 years,Median total income,63040.0
358,2010,Province 4,Third quintile,Food purchased from stores,C359,5486.0,Couple families,35 to 44 years,"Under $10,000",130.0
359,2010,Province 4,Third quintile,Food purchased from restaurants,C360,1691.0,Couple families,35 to 44 years,"$10,000 and over",6080.0
362,2010,Province 4,Third quintile,Rented living quarters,C363,1740.0,Couple families,35 to 44 years,"$25,000 and over",5890.0
363,2010,Province 4,Third quintile,Owned living quarters,C364,4631.0,Couple families,35 to 44 years,"$30,000 and over",5780.0
365,2010,Province 4,Third quintile,Other accommodation,C366,1009.0,Couple families,35 to 44 years,"$40,000 and over",5490.0
367,2010,Province 4,Third quintile,Communications,C368,1941.0,Couple families,35 to 44 years,"$50,000 and over",5060.0
368,2010,Province 4,Third quintile,Household furnishings and equipment,C369,1484.0,Couple families,35 to 44 years,"$60,000 and over",4450.0
371,2010,Province 4,Third quintile,Household appliances,C372,380.0,Couple families,35 to 44 years,"$80,000 and over",3080.0
372,2010,Province 4,Third quintile,Clothing and accessories,C373,3313.0,Couple families,35 to 44 years,"$90,000 and over",2470.0
374,2010,Province 4,Fourth quintile,Total expenditure,C375,68047.0,Couple families,45 to 54 years,All income groups,7830.0
376,2010,Province 4,Fourth quintile,Food purchased from restaurants,C377,2358.0,Couple families,45 to 54 years,"$10,000 and over",7680.0
377,2010,Province 4,Fourth quintile,Shelter,C378,13924.0,Couple families,45 to 54 years,"$15,000 and over",7620.0
379,2010,Province 4,Fourth quintile,Rented living quarters,C380,1255.0,Couple families,45 to 54 years,"$25,000 and over",7470.0
383,2010,Province 4,Fourth quintile,Household operations,C384,4123.0,Couple families,45 to 54 years,"$45,000 and over",6700.0
386,2010,Province 4,Fourth quintile,Household furnishings,C387,619.0,Couple families,45 to 54 years,"$70,000 and over",5070.0
388,2010,Province 4,Fourth quintile,Household appliances,C389,430.0,Couple families,45 to 54 years,"$80,000 and over",4350.0
389,2010,Province 4,Fourth quintile,Clothing and accessories,C390,3339.0,Couple families,45 to 54 years,"$90,000 and over",3650.0
392,2010,Province 4,Highest quintile,Food purchased from stores,C393,8355.0,Couple families,55 to 64 years,"Under $10,000",90.0
393,2010,Province 4,Highest quintile,Food purchased from restaurants,C394,2964.0,Couple families,55 to 64 years,"$10,000 and over",7700.0
394,2010,Province 4,Highest quintile,Shelter,C395,17694.0,Couple families,55 to 64 years,"$15,000 and over",7600.0
395,2010,Province 4,Highest quintile,Principal accommodation,C396,15235.0,Couple families,55 to 64 years,"$20,000 and over",7490.0
398,2010,Province 4,Highest quintile,"Water, fuel and electricity for principal accommodation",C399,4187.0,Couple families,55 to 64 years,"$35,000 and over",6960.0
400,2010,Province 4,Highest quintile,Household operations,C401,5523.0,Couple families,55 to 64 years,"$45,000 and over",6370.0
401,2010,Province 4,Highest quintile,Communications,C402,2315.0,Couple families,55 to 64 years,"$50,000 and over",6010.0
402,2010,Province 4,Highest quintile,Household furnishings and equipment,C403,3166.0,Couple families,55 to 64 years,"$60,000 and over",5220.0
403,2010,Province 4,Highest quintile,Household furnishings,C404,1174.0,Couple families,55 to 64 years,"$70,000 and over",4430.0
404,2010,Province 4,Highest quintile,Household equipment,C405,1927.0,Couple families,55 to 64 years,"$75,000 and over",4050.0
405,2010,Province 4,Highest quintile,Household appliances,C406,,Couple families,55 to 64 years,"$80,000 and over",3680.0
408,2010,Province 5,All quintiles,Total expenditure,C409,61939.0,Couple families,Total all ages,All income groups,218130.0
412,2010,Province 5,All quintiles,Principal accommodation,C413,10813.0,Couple families,Total all ages,"$20,000 and over",209580.0
415,2010,Province 5,All quintiles,"Water, fuel and electricity for principal accommodation",C416,2587.0,Couple families,Total all ages,"$35,000 and over",184580.0
419,2010,Province 5,All quintiles,Household furnishings and equipment,C420,1891.0,Couple families,Total all ages,"$60,000 and over",133700.0
423,2010,Province 5,All quintiles,Clothing and accessories,C424,2945.0,Couple families,Total all ages,"$90,000 and over",78780.0
424,2010,Province 5,All quintiles,Transportation,C425,9556.0,Couple families,Total all ages,Median total income,72350.0
425,2010,Province 5,Lowest quintile,Total expenditure,C426,23746.0,Couple families,0 to 24 years,All income groups,3150.0
427,2010,Province 5,Lowest quintile,Food purchased from restaurants,C428,519.0,Couple families,0 to 24 years,"$10,000 and over",2910.0
429,2010,Province 5,Lowest quintile,Principal accommodation,C430,7060.0,Couple families,0 to 24 years,"$20,000 and over",2430.0
431,2010,Province 5,Lowest quintile,Owned living quarters,C432,1631.0,Couple families,0 to 24 years,"$30,000 and over",1780.0
434,2010,Province 5,Lowest quintile,Household operations,C435,1889.0,Couple families,0 to 24 years,"$45,000 and over",960.0
437,2010,Province 5,Lowest quintile,Household furnishings,C438,262.0,Couple families,0 to 24 years,"$70,000 and over",280.0
438,2010,Province 5,Lowest quintile,Household equipment,C439,499.0,Couple families,0 to 24 years,"$75,000 and over",210.0
439,2010,Province 5,Lowest quintile,Household appliances,C440,153.0,Couple families,0 to 24 years,"$80,000 and over",170.0
441,2010,Province 5,Lowest quintile,Transportation,C442,3818.0,Couple families,0 to 24 years,Median total income,33390.0
442,2010,Province 5,Second quintile,Total expenditure,C443,37192.0,Couple families,25 to 34 years,All income groups,23220.0
443,2010,Province 5,Second quintile,Food purchased from stores,C444,4397.0,Couple families,25 to 34 years,"Under $10,000",490.0
448,2010,Province 5,Second quintile,Owned living quarters,C449,2724.0,Couple families,25 to 34 years,"$30,000 and over",20540.0
451,2010,Province 5,Second quintile,Household operations,C452,2925.0,Couple families,25 to 34 years,"$45,000 and over",17320.0
454,2010,Province 5,Second quintile,Household furnishings,C455,550.0,Couple families,25 to 34 years,"$70,000 and over",10990.0
456,2010,Province 5,Second quintile,Household appliances,C457,240.0,Couple families,25 to 34 years,"$80,000 and over",8510.0
457,2010,Province 5,Second quintile,Clothing and accessories,C458,2089.0,Couple families,25 to 34 years,"$90,000 and over",6460.0
458,2010,Province 5,Second quintile,Transportation,C459,6074.0,Couple families,25 to 34 years,Median total income,67630.0
459,2010,Province 5,Third quintile,Total expenditure,C460,54590.0,Couple families,35 to 44 years,All income groups,38460.0
460,2010,Province 5,Third quintile,Food purchased from stores,C461,5005.0,Couple families,35 to 44 years,"Under $10,000",630.0
461,2010,Province 5,Third quintile,Food purchased from restaurants,C462,1701.0,Couple families,35 to 44 years,"$10,000 and over",37830.0
462,2010,Province 5,Third quintile,Shelter,C463,10856.0,Couple families,35 to 44 years,"$15,000 and over",37550.0
465,2010,Province 5,Third quintile,Owned living quarters,C466,5957.0,Couple families,35 to 44 years,"$30,000 and over",35810.0
467,2010,Province 5,Third quintile,Other accommodation,C468,562.0,Couple families,35 to 44 years,"$40,000 and over",33830.0
468,2010,Province 5,Third quintile,Household operations,C469,4214.0,Couple families,35 to 44 years,"$45,000 and over",32560.0
470,2010,Province 5,Third quintile,Household furnishings and equipment,C471,1689.0,Couple families,35 to 44 years,"$60,000 and over",27850.0
